,name,year
0,Emil Jannings,1927
1,Emil Jannings,1928
2,Warner Baxter,1928
3,Warner Baxter,1929
4,George Arliss,1929
5,George Arliss,1930
6,Lionel Barrymore,1930
7,Lionel Barrymore,1931
8,Wallace Beery,1931
9,Wallace Beery,1932
10,Charles Laughton,1932
11,Charles Laughton,1933
12,Clark Gable,1934
13,Victor McLaglen,1935
14,Paul Muni,1936
15,Spencer Tracy,1937
16,Spencer Tracy,1938
17,Robert Donat,1939
18,James Stewart,1940
19,Gary Cooper,1941
20,James Cagney,1942
21,Paul Lukas,1943
22,Bing Crosby,1944
23,Ray Milland,1945
24,Fredric March,1946
25,Ronald Colman,1947
26,Laurence Olivier,1948
27,Broderick Crawford,1949
28,José Ferrer,1950
29,Humphrey Bogart,1951
30,Gary Cooper,1952
31,William Holden,1953
32,Marlon Brando,1954
33,Ernest Borgnine,1955
34,Yul Brynner,1956
35,Alec Guinness,1957
36,David Niven,1958
37,Charlton Heston,1959
38,Burt Lancaster,1960
39,Maximilian Schell,1961
40,Gregory Peck,1962
41,Sidney Poitier,1963
42,Rex Harrison,1964
43,Lee Marvin,1965
44,Paul Scofield,1966
45,Rod Steiger,1967
46,Cliff Robertson,1968
47,John Wayne,1969
48,George C. Scott,1970
49,Gene Hackman,1971
50,Marlon Brando,1972
51,Jack Lemmon,1973
52,Art Carney,1974
53,Jack Nicholson,1975
54,Peter Finch,1976
55,Richard Dreyfuss,1977
56,Jon Voight,1978
57,Dustin Hoffman,1979
58,Robert De Niro,1980
59,Henry Fonda,1981
60,Ben Kingsley,1982
61,Robert Duvall,1983
62,F. Murray Abraham,1984
63,William Hurt,1985
64,Paul Newman,1986
65,Michael Douglas,1987
66,Dustin Hoffman,1988
67,Daniel Day-Lewis,1989
68,Jeremy Irons,1990
69,Anthony Hopkins,1991
70,Al Pacino,1992
71,Tom Hanks,1993
72,Tom Hanks,1994
73,Nicolas Cage,1995
74,Geoffrey Rush,1996
75,Jack Nicholson,1997
76,Roberto Benigni,1998
77,Kevin Spacey,1999
78,Russell Crowe,2000
79,Denzel Washington,2001
80,Adrien Brody,2002
81,Sean Penn,2003
82,Jamie Foxx,2004
83,Philip Seymour Hoffman,2005
84,Forest Whitaker,2006
85,Daniel Day-Lewis,2007
86,Sean Penn,2008
87,Jeff Bridges,2009
88,Colin Firth,2010
89,Jean Dujardin,2011
90,Daniel Day-Lewis,2012
91,Matthew McConaughey,2013
92,Eddie Redmayne,2014
93,Leonardo DiCaprio,2015
94,Casey Affleck,2016
95,Gary Oldman,2017
96,Rami Malek,2018
97,Joaquin Phoenix,2019
98,Anthony Hopkins,2020
99,Anthony Hopkins,2021
100,Frank Borzage,1927
101,Frank Borzage,1928
102,Frank Lloyd,1928
103,Frank Lloyd,1929
104,Lewis Milestone,1929
105,Lewis Milestone,1930
106,Norman Taurog,1930
107,Norman Taurog,1931
108,Frank Borzage,1931
109,Frank Borzage,1932
110,Frank Lloyd,1932
111,Frank Lloyd,1933
112,Frank Capra,1934
113,John Ford,1935
114,Frank Capra,1936
115,Leo McCarey,1937
116,Frank Capra,1938
117,Victor Fleming,1939
118,John Ford,1940
119,John Ford,1941
120,William Wyler,1942
121,Michael Curtiz,1943
122,Leo McCarey,1944
123,Billy Wilder,1945
124,William Wyler,1946
125,Elia Kazan,1947
126,John Huston,1948
127,Joseph L. Mankiewicz,1949
128,Joseph L. Mankiewicz,1950
129,George Stevens,1951
130,John Ford,1952
131,Fred Zinnemann,1953
132,Elia Kazan,1954
133,Delbert Mann,1955
134,George Stevens,1956
135,David Lean,1957
136,Vincente Minnelli,1958
137,William Wyler,1959
138,Billy Wilder,1960
139,Jerome Robbins,1961
140,David Lean,1962
141,Tony Richardson,1963
142,George Cukor,1964
143,Robert Wise,1965
144,Fred Zinnemann,1966
145,Mike Nichols,1967
146,Carol Reed,1968
147,John Schlesinger,1969
148,Franklin J. Schaffner,1970
149,William Friedkin,1971
150,Bob Fosse,1972
151,George Roy Hill,1973
152,Francis Ford Coppola,1974
153,Miloš Forman,1975
154,John G. Avildsen,1976
155,Woody Allen,1977
156,Michael Cimino,1978
157,Robert Benton,1979
158,Robert Redford,1980
159,Warren Beatty,1981
160,Richard Attenborough,1982
161,James L. Brooks,1983
162,Miloš Forman,1984
163,Sydney Pollack,1985
164,Oliver Stone,1986
165,Bernardo Bertolucci,1987
166,Barry Levinson,1988
167,Oliver Stone,1989
168,Kevin Costner,1990
169,Jonathan Demme,1991
170,Clint Eastwood,1992
171,Steven Spielberg,1993
172,Robert Zemeckis,1994
173,Mel Gibson,1995
174,Anthony Minghella,1996
175,James Cameron,1997
176,Steven Spielberg,1998
177,Sam Mendes,1999
178,Steven Soderbergh,2000
179,Ron Howard,2001
180,Roman Polanski,2002
181,Peter Jackson,2003
182,Clint Eastwood,2004
183,Ang Lee,2005
184,Martin Scorsese,2006
185,Coen Brothers,2007
186,Danny Boyle,2008
187,Kathryn Bigelow,2009
188,Tom Hooper,2010
189,Michel Hazanavicius,2011
190,Ang Lee,2012
191,Alfonso Cuarón,2013
192,Alejandro González Iñárritu,2014
193,Alejandro González Iñárritu,2015
194,Damien Chazelle,2016
195,Guillermo del Toro,2017
196,Alfonso Cuarón,2018
197,Bong Joon-ho,2019
198,Chloé Zhao,2020
199,Chloé Zhao,2021
